Gene stable ID version	Gene name
ENSG00000132967.9	HMGB1P5
ENSG00000169253.3	AL669983.1
ENSG00000175741.5	RWDD4P2
ENSG00000176343.5	RPL37AP8
ENSG00000179967.11	PPP1R14BP3
ENSG00000197149.5	AC107956.1
ENSG00000198618.5	PPIAP22
ENSG00000204253.4	HNRNPCP2
ENSG00000210140.1	MT-TC
ENSG00000210144.1	MT-TY
ENSG00000211676.2	IGLJ2
ENSG00000213082.3	PPP1R14BP2
ENSG00000213131.3	YWHAZP4
ENSG00000213260.3	YWHAZP5
ENSG00000213293.4	AC012618.1
ENSG00000213315.5	AL122020.1
ENSG00000213707.2	HMGB1P10
ENSG00000213763.4	ACTBP2
ENSG00000213820.3	RPL13P2
ENSG00000214541.3	RPS4XP3
ENSG00000214612.3	RPS19P1
ENSG00000214748.2	AL355309.1
ENSG00000217624.2	AL627402.1
ENSG00000219222.1	RPL12P47
ENSG00000223612.3	AC241585.1
ENSG00000225031.1	EIF4BP7
ENSG00000225356.3	AC093840.1
ENSG00000225616.2	AL138785.1
ENSG00000226054.2	MEMO1P1
ENSG00000226084.5	AC113935.1
ENSG00000226085.3	UQCRFS1P1
ENSG00000226532.1	AL022718.1
ENSG00000226608.3	FTLP3
ENSG00000226781.1	TBCAP1
ENSG00000227063.5	RPL41P1
ENSG00000228399.1	AL109741.2
ENSG00000228847.1	ATP5MC2P4
ENSG00000229204.3	PTGES3P3
ENSG00000231043.3	AC007238.1
ENSG00000231369.1	Z97353.1
ENSG00000231747.1	AC079922.1
ENSG00000232024.2	LSM12P1
ENSG00000232888.4	RPS11P5
ENSG00000234985.2	AC074085.2
ENSG00000235297.3	FAUP1
ENSG00000235552.4	RPL6P27
ENSG00000235636.1	NUS1P1
ENSG00000236439.4	AC099336.2
ENSG00000237039.1	AC018738.1
ENSG00000238249.2	HMGN2P17
ENSG00000240463.1	RPS19P3
ENSG00000240652.1	AP001024.1
ENSG00000240950.1	AC021074.1
ENSG00000241547.1	ACTG1P20
ENSG00000242327.1	AC023906.1
ENSG00000242814.2	AC113398.1
ENSG00000244485.1	RPL18P13
ENSG00000250568.1	AC098591.3
ENSG00000254612.2	AP001000.1
ENSG00000259051.1	HNRNPUP1
ENSG00000259781.1	HMGB1P6
ENSG00000259856.1	RAB43P1
ENSG00000267533.1	AP002414.4
ENSG00000269242.1	AC010422.3
ENSG00000270503.1	YTHDF2P1
